Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	Min_Humidity (%)	Max_Humidity (%)	Avg_Humidity (%)	Avg_Wind_Direction (deg)	Avg_Wind_Gust (km/h)	Min_Wind_Speed (km/h)	Max_Wind_Speed (km/h)	Avg_Wind_Speed (km/h)	Avg_Solar_Radiation (wat/m2)	Avg_Soil_Moisture_A (kPa)	Avg_Soil_Moisture_B (kPa)	
18-Apr-2006	16.4	27.2	20.96874996026357	0	50.7	100	85.50416644414265	298.57500032583874	8	0	1.6	0.10000000149011612	216.67083304127058	1	1	
19-Apr-2006	16.8	27.6	21.889583349227905	0	60.5	100	86.85624965031941	258.7937499682109	6.4	0	0	0	165.56250005960464	1.1875	1.1875	
20-Apr-2006	20.2	28.7	23.85000006357829	0	59.4	100	86.35624972979228	192.16875287642083	9.7	0	0	0	165.6916660865148	1.2083333333333333	1.2083333333333333	
21-Apr-2006	21.7	31.2	24.691666841506958	0	56.5	100	88.47083290417989	213.09583640098572	8	0	0	0	167.52916565537453	4.729166666666667	4.729166666666667	
22-Apr-2006	22.5	33.2	25.916666666666668	0	48.6	100	85.02083277702332	209.88333614667258	8	0	1.6	0.06666666766007741	238.2333353459835	9.104166666666666	9.104166666666666	
23-Apr-2006	21.3	34.1	25.808333317438763	0	53.7	100	87.21666646003723	213.36041895548502	4.8	0	0	0	235.03958360354105	11.1875	11.1875	
24-Apr-2006	22.1	34.1	26.53124996026357	0	55.2	100	84.27500001589458	195.74375009536743	4.8	0	0	0	241.05833198626837	13.0625	13.0625	
25-Apr-2006	22.5	30.8	25.310416499773662	0.25	63.3	100	89.45416617393494	171.7999989191691	4.8	0	0	0	143.75208219885826	14.854166666666666	14.854166666666666	
26-Apr-2006	21.3	27.2	23.39999993642171	15.740000009536743	78.9	100	95.87708330154419	171.7604160308838	16.1	0	1.6	0.06666666766007741	80.15000002582867	6.9375	6.9375	
27-Apr-2006	20.2	33.2	25.24375009536743	0.25	51.4	100	85.29583303133647	176.06874976555505	6.4	0	0	0	276.95208231608075	0.4791666666666667	0.4791666666666667	
28-Apr-2006	20.6	34.1	25.895833333333332	0	44.6	100	82.07916625340779	271.6916658083598	6.4	0	0	0	280.760416050752	0.4166666666666667	0.4166666666666667	
29-Apr-2006	20.6	33.2	25.239583412806194	0	48.2	100	85.70416625340779	255.33333072563013	6.4	0	0	0	220.82916527986526	2.2083333333333335	2.2083333333333335	
30-Apr-2006	20.6	33.2	25.181250135103863	0	55.4	100	86.58749953905742	163.2854127039512	8	0	1.6	0.033333333830038704	247.06250132123628	10.25	10.25	
1-May-2006	20.6	32.4	25.22500018278758	0	47.4	100	81.45208326975505	209.9895795484384	8	0	1.6	0.10000000149011612	246.69166722893715	13.979166666666666	13.979166666666666	
2-May-2006	18.7	28.7	22.760416746139526	0	57.4	99.5	83.12499968210857	275.61458336313564	16.1	0	1.6	0.4000000059604645	206.12916764616966	17.020833333333332	17.020833333333332	
3-May-2006	17.1	26	20.40624992052714	0	56.5	99.5	85.62916668256123	291.1145769755046	8	0	1.6	0.06666666766007741	175.86458348234495	19.229166666666668	19.229166666666668	
4-May-2006	16.4	29.1	21.185416618982952	0	49.4	100	82.64791639645894	172.47916893909374	8	0	0	0	257.8437493642171	21.104166666666668	21.104166666666668	
5-May-2006	16.4	29.1	21.71666657924652	0	53.9	100	84.64374995231628	191.98750082651773	8	0	0	0	206.25416532158852	22.666666666666668	22.666666666666668	
6-May-2006	18.3	29.9	22.960416595141094	0	55.7	100	85.07291690508525	289.41666611035663	9.7	0	1.6	0.033333333830038704	206.1270850300789	24.479166666666668	24.479166666666668	
7-May-2006	19.4	26.8	22.150000015894573	0	58.7	97.1	83.51458271344502	292.27291146914166	6.4	0	0	0	106.24791831771533	25.833333333333332	25.833333333333332	
8-May-2006	16	25.2	20.520833214124043	0	53.7	99.5	84.04374933242798	278.28541978200275	11.3	0	1.6	0.10000000149011612	111.27083434661229	27.25	27.25	
9-May-2006	16.8	24.8	19.677083253860474	0	48.2	99.5	82.15208339691162	255.65833952029547	12.9	0	3.2	0.30000000447034836	124.38958202799161	28.666666666666668	28.666666666666668	
10-May-2006	16.8	25.6	20.19583324591319	0	46.7	99.5	81.67708309491475	274.6041642824809	12.9	0	1.6	0.16666666915019354	157.96458219488463	30.041666666666668	30.041666666666668	
11-May-2006	14.8	29.1	20.472916662693024	0	46.3	100	80.95416688919067	248.25416247049967	6.4	0	0	0	235.2937479118506	30.875	30.875	
12-May-2006	14.8	28.7	19.965306087416046	0	41.2	100	80.38775510204081	253.54490041732788	9.7	0	1.6	0.03265306171105833	243.93877578268246	32.714285714285715	32.714285714285715	
13-May-2006	14.1	28.7	19.483333309491474	0	41.4	100	78.90416638056438	274.51666690905887	8	0	1.6	0.033333333830038704	237.37916961312294	34.416666666666664	34.416666666666664	
14-May-2006	13.3	28.7	19.289583265781403	0	39.1	100	80.14791639645894	260.0062510172526	6.4	0	0	0	245.71249897281328	36.395833333333336	36.395833333333336	
15-May-2006	13.7	29.9	20.566666543483734	0	40.5	100	80.31458314259847	246.53750403722128	4.8	0	0	0	244.116667419672	38.291666666666664	38.291666666666664	
16-May-2006	15.2	31.2	21.9645832379659	0	47.5	100	83.32291626930237	217.26250183582306	4.8	0	1.6	0.033333333830038704	222.5479156076908	39.333333333333336	39.333333333333336	
17-May-2006	17.5	32.4	23.53333346048991	0	47.7	100	82.93125025431316	200.76249859730402	6.4	0	1.6	0.033333333830038704	191.05208533008894	40.3125	40.3125	
18-May-2006	19.4	31.6	24.331250031789143	0	52.5	100	85.93333355585735	193.65833218892416	8	0	0	0	196.57291611035666	41.6875	41.6875	
19-May-2006	21	32	25.05625017484029	0	55	100	86.08333317438762	194.13958112398782	9.7	0	1.6	0.033333333830038704	158.33125004172325	42.75	42.75	
20-May-2006	21	32.8	25.395833293596905	0	50.9	100	84.94166652361552	189.68749868869781	9.7	0	1.6	0.13333333532015482	193.74791599313417	44.083333333333336	44.083333333333336	
21-May-2006	16	24.4	20.5645831823349	31.199999809265137	91.5	100	97.72916650772095	170.98125090201697	19.3	0	1.6	0.3333333383003871	23.652083198229473	25.6875	25.6875	
22-May-2006	13.7	16.4	15.093749980131784	12.430000066757202	89.8	100	97.05624930063884	176.69166505336761	16.1	0	3.2	0.6000000089406967	31.13124977548917	2.5833333333333335	2.5833333333333335	
23-May-2006	14.4	22.9	18.24166665474574	0	53.9	98.7	84.58333277702332	196.97708072016636	9.7	0	1.6	0.033333333830038704	125.97916535536449	2.4166666666666665	2.4166666666666665	
24-May-2006	15.6	23.3	19.029166618982952	0	57.5	99.5	85.13749988873799	267.8458350499471	4.8	0	0	0	103.18958307305972	3.2083333333333335	3.2083333333333335	
25-May-2006	14.4	29.1	20.314583241939545	0	47.5	100	83.87499976158142	253.39583202203116	6.4	0	0	0	215.32083382209143	10.645833333333334	10.645833333333334	
26-May-2006	15.2	29.1	21.37708334128062	0	52.1	100	87.03124968210857	214.32083113988242	8	0	0	0	202.5729156335195	15.083333333333334	15.083333333333334	
27-May-2006	17.5	31.6	22.889583230018616	0	53.1	100	85.26874995231628	161.83541735013327	4.8	0	0	0	216.1729172964891	18.166666666666668	18.166666666666668	
28-May-2006	17.9	32.4	23.077083428700764	0	44.9	100	83.91250006357829	200.42083104451498	6.4	0	0	0	236.15208253264427	20.979166666666668	20.979166666666668	
29-May-2006	17.5	31.6	23.06041685740153	0	51.2	100	84.94374950726827	185.96874964237213	6.4	0	0	0	234.06666666269302	23.333333333333332	23.333333333333332	
30-May-2006	18.7	32	23.985416611035664	0	53.5	100	85.47291652361552	140.51875241597494	6.4	0	0	0	214.954166918993	25.666666666666668	25.666666666666668	
31-May-2006	20.6	32	23.5958331823349	0.75	58.4	100	90.81041638056438	134.50208353996277	17.7	0	1.6	0.06666666766007741	135.17500104506811	27.979166666666668	27.979166666666668	
1-Jun-2006	20.6	29.5	23.28541672229767	0	66.6	100	91.02708355585735	91.83958315849304	4.8	0	0	0	117.27708233396213	29.875	29.875	
