"","name","found","family"
"351","guoanialupuloides","TRUE","Rhamnaceae"
"352","sapotaceaesp1","TRUE","Sapotaceae"
"353","soroceapileata","TRUE","Moraceae"
"354","ingaklugii","TRUE","Fabaceae"
"355","ingaspbig","TRUE","Fabaceae"
"356","rhamnidiumelaeocarpum","TRUE","Rhamnaceae"
"357","acaciasp2","TRUE","Fabaceae"
"358","bignoniaceaesp22","TRUE","Bignoniaceae"
"359","eugeniaacrensis","TRUE","Myrtaceae"
"360","ficusregularis","TRUE","Moraceae"
"361","cecropiatessmannii","TRUE","Urticaceae"
"362","ficussp3","TRUE","Moraceae"
"363","cecropiasp1","TRUE","Urticaceae"
"364","rolliniacentrantha","TRUE","Annonaceae"
"365","cecropiaspbrown","TRUE","Urticaceae"
"366","perebeaguianensis","TRUE","Moraceae"
"367","epiphyllumphyllantus","TRUE","Cactaceae"
"368","stizophyllumriparium","TRUE","Bignoniaceae"
"369","passiflorasp3","TRUE","Passifloraceae"
"370","cupaniasp1","TRUE","Sapindaceae"
"371","mascagniasp","TRUE","Malpighiaceae"
"372","laetiaprocera","TRUE","Salicaceae"
"373","mascagniasp1","TRUE","Malpighiaceae"
"374","caseariadecandra","TRUE","Salicaceae"
"375","ingaspmedium","TRUE","Fabaceae"
"376","psychotriasp5","TRUE","Rubiaceae"
"377","bignoniaceaesp37","TRUE","Bignoniaceae"
"378","leguminosaesp3","TRUE","Fabaceae"
"379","heisterianitida","TRUE","Olacaceae"
"380","chrysophyllumargenteum","TRUE","Sapotaceae"
"381","guraniasp2","TRUE","Cucurbitaceae"
"382","ingaedulis","TRUE","Fabaceae"
"383","pseudobombaxseptenatum","TRUE","Malvaceae"
"384","bignoniaceaesp52","TRUE","Bignoniaceae"
"385","virolasp1","TRUE","Myristicaceae"
"386","lauraceaesp5","TRUE","Lauraceae"
"387","tapurasp1","TRUE","Dichapetalaceae"
"388","psychotriasp4","TRUE","Rubiaceae"
"389","odontocaryasp","TRUE","Menispermaceae"
"390","metalepisalbiflora","TRUE","Apocynaceae"
"391","psychotriasp","TRUE","Rubiaceae"
"392","bignoniaceaesp20","TRUE","Bignoniaceae"
"393","psychotriasp2","TRUE","Rubiaceae"
"394","ingasp3","TRUE","Fabaceae"
"395","annonaneglecta","TRUE","Annonaceae"
"396","bignoniaceaesp38","TRUE","Bignoniaceae"
"397","anomospermumreticulatum","TRUE","Menispermaceae"
"398","hiraeasp","TRUE","Malpighiaceae"
"399","ingasp4","TRUE","Fabaceae"
"400","guatteriasp3","TRUE","Annonaceae"
"401","bignoniaceaesp21","TRUE","Bignoniaceae"
"402","bignoniaceaesp40","TRUE","Bignoniaceae"
"403","bignoniaceaesp42","TRUE","Bignoniaceae"
"404","swartziaspredaril","TRUE","Fabaceae"
"405","ingaspgreen","TRUE","Fabaceae"
